drug_name,drug_class,symptoms_treated,category,advice
Torsemide,Loop Diuretic,"heart failure, edema, hypertension",Cardiovascular,Better bioavailability than furosemide. Once daily dosing.
Prazosin,Alpha Blocker,"hypertension, PTSD nightmares, heart failure",Cardiovascular,First-dose syncope possible. Start with low dose.
Nitroprusside,Vasodilator,"hypertensive emergency, acute heart failure",Cardiovascular,IV infusion only. Risk of cyanide toxicity.
Methyldopa,Central Antihypertensive,"hypertension in pregnancy, essential hypertension",Cardiovascular,Drug of choice in gestational hypertension.
Clopidogrel,Antiplatelet,"stroke prevention, heart attack, peripheral artery disease",Cardiovascular,Avoid with PPIs. Report unusual bleeding.
Fluvastatin,Statin,"hyperlipidemia, cardiovascular risk",Cardiovascular,Take at bedtime. Extended-release form available.
Spironolactone,Potassium-sparing Diuretic,"heart failure, hypertension, edema",Cardiovascular,Monitor potassium. Avoid in renal failure.
Ramipril,ACE Inhibitor,"hypertension, post-MI, heart failure",Cardiovascular,Dry cough is common side effect. Avoid in pregnancy.
Digoxin,Cardiac Glycoside,"heart failure, atrial fibrillation, atrial flutter",Cardiovascular,Narrow therapeutic window. Report nausea or visual changes.
Empagliflozin,SGLT2 Inhibitor,"heart failure, type 2 diabetes, cardiovascular risk reduction",Cardiovascular,Risk of genital infections. Maintain hydration.
Torsemide,Loop Diuretic,"heart failure, edema, hypertension",Cardiovascular,Better bioavailability than furosemide. Once daily dosing.
Felodipine,Dihydropyridine CCB,"hypertension, angina",Cardiovascular,Avoid grapefruit juice. Swallow whole.
Atorvastatin 40mg,Statin,"high cardiovascular risk, very high LDL",Cardiovascular,Higher dose — monitor for muscle pain.
Mannitol,Osmotic Diuretic,"raised intracranial pressure, acute glaucoma",Neurology/Renal,IV infusion. Monitor serum osmolarity.
Nitroglycerin,Nitrate,"angina, chest pain, coronary artery spasm",Cardiovascular,May cause headache. Sit before taking. Store away from light.
Bumetanide,Loop Diuretic,"heart failure, edema, hypertension",Cardiovascular,More potent than furosemide per mg. Monitor electrolytes.
Torsemide,Loop Diuretic,"heart failure, edema, hypertension",Cardiovascular,Better bioavailability than furosemide. Once daily dosing.
Ramipril,ACE Inhibitor,"hypertension, post-MI, heart failure",Cardiovascular,Dry cough is common side effect. Avoid in pregnancy.
Apixaban,Direct Oral Anticoagulant,"atrial fibrillation, DVT, stroke prevention",Cardiovascular,No routine monitoring needed. Report unusual bleeding.
Phenylephrine,Vasopressor,"hypotension, nasal congestion, shock",Cardiovascular,Raises blood pressure. Avoid in hypertensive patients.
Aspirin,Antiplatelet,"chest pain, heart attack prevention, clot prevention",Cardiovascular,Take with food to avoid stomach upset. Do not use if allergic to NSAIDs.
Bisoprolol,Beta-blocker,"heart failure, hypertension, angina",Cardiovascular,Taper off gradually. Monitor blood pressure.
Ezetimibe,Cholesterol Absorption Inhibitor,"high LDL, hypercholesterolemia",Cardiovascular,Can be combined with statins. Well tolerated.
Levothyroxine,Thyroid Hormone,"hypothyroidism, thyroid hormone deficiency",Endocrine,Take on empty stomach. Recheck TSH every 6 months.
Rosuvastatin,Statin,"high LDL cholesterol, cardiovascular risk reduction",Cardiovascular,Check liver function tests. Avoid excessive alcohol.
Chlorthalidone,Thiazide-like Diuretic,"hypertension, heart failure prevention",Cardiovascular,Longer-acting than HCTZ. Morning dosing preferred.
